track_id,spot_id,mask_id,fr,X,Y,area,mean,edge,p_death
80,30857,50,44,1185,1050,167.018,1.84747,True,0.35545
80,30602,44,38,1184,1053,124.824,1.97386,False,0.34423
80,30812,48,43,1183,1052,140.647,1.98902,False,0.16688
81,30869,7,46,1141,74,413.151,1.53227,False,0.15397
81,30997,9,48,1136,48,376.482,1.48774,False,0.00612
81,30806,8,44,1141,53,199.668,0.61793,False,0.00207
81,30893,8,45,1135,64,474.684,1.50608,False,0.76842
81,30975,8,47,1141,63,332.027,1.57975,False,0.00098
82,30864,3,46,887,4,141.903,0.91750,True,0.46331
82,30886,3,45,881,4,146.172,0.86695,True,0.02288
82,30982,3,48,880,3,155.716,0.73675,True,0.23465
82,31174,3,50,879,3,139.642,0.83571,True,0.56038
82,30970,4,47,881,3,140.145,0.76002,True,0.20970
82,31021,3,49,876,4,157.223,0.76731,True,0.13482
83,31024,5,49,943,3,79.365,0.22854,True,0.41200
83,30866,4,46,950,2,51.487,0.31556,True,0.49053
83,31236,4,53,947,2,57.263,0.25361,True,0.55592
83,30678,4,42,945,2,45.710,0.30234,True,0.47973
83,31176,5,50,945,3,67.812,0.30795,True,0.52762
83,30889,5,45,946,3,71.830,0.24203,True,0.45566
83,31241,3,52,943,2,52.994,0.29565,True,0.01924
83,30986,5,48,947,5,88.909,0.20874,True,0.00975
83,31294,5,54,948,4,91.421,0.14726,True,0.38883
83,30655,3,41,943,2,34.911,0.33162,True,0.46878
84,30993,19,47,75,214,402.853,2.07175,False,0.00016
84,31045,23,48,89,244,410.639,2.03959,False,0.00000
84,31062,19,49,89,222,380.751,2.18765,False,0.95495
84,31273,19,52,98,235,642.455,1.33501,False,0.00000
84,31259,14,53,97,225,914.457,0.96525,False,0.58599
84,31325,18,54,99,221,944.344,0.93718,False,0.20690
84,31102,17,51,91,240,526.422,1.61248,False,0.00019
84,31199,20,50,89,233,428.722,1.94353,False,0.03707
85,31185,8,50,601,25,248.141,0.21446,False,0.25713
85,31249,7,52,601,26,247.890,0.20463,False,0.16243
85,30994,8,48,602,24,264.467,0.22800,False,0.12944
85,31074,6,51,603,23,274.513,0.19745,False,0.06215
85,30974,7,47,604,23,219.259,0.23633,False,0.05864
86,31122,26,51,122,504,1321.328,0.66373,False,0.00171
86,31206,27,50,138,487,680.882,0.40532,False,0.41393
87,31184,52,51,34,1159,1335.142,0.51174,True,0.02102
87,31369,53,52,30,1160,1208.559,0.55732,True,0.02340
87,31355,49,53,33,1159,1195.248,0.55775,True,0.44605
87,31165,50,49,31,1160,1174.653,0.51247,True,0.43126
87,31389,53,54,30,1160,1174.653,0.53622,True,0.52725
87,31230,51,50,32,1159,1209.313,0.51781,True,0.52180
88,31315,35,52,422,603,367.189,0.22035,False,0.20870
88,31302,33,53,423,607,488.999,0.21082,False,0.08010
89,31366,51,52,249,1123,258.188,0.59718,False,0.21654
89,31180,50,51,251,1123,298.875,0.61083,False,0.15685
90,30998,10,48,241,69,93.430,2.00158,False,0.74336
90,31030,8,49,238,70,100.211,1.81419,False,0.04617
