track_id,spot_id,fr,X,Y,area,mean,edge
0,256,7,555,295,250.904,1.53081,False
0,2304,26,568,269,276.020,1.93400,False
0,25600,144,500,316,483.725,1.57328,False
0,2315,28,573,275,306.409,1.81504,False
0,3339,36,569,248,995.329,0.53143,False
0,12815,97,452,281,372.212,2.04208,False
0,2832,32,563,282,348.101,1.94911,False
0,13328,98,456,306,396.323,1.76770,False
0,18202,120,488,353,394.816,2.34121,False
0,7711,69,493,287,1409.484,0.53303,False
0,288,3,527,280,401.095,1.84219,False
0,4385,42,554,251,1279.385,0.44723,False
0,21537,134,494,316,845.138,0.64188,False
0,5922,54,509,263,1269.590,0.52337,False
0,15396,110,493,344,414.155,2.07335,False
0,1831,24,563,264,268.234,1.94689,False
0,14375,104,484,332,385.272,1.90396,False
0,17191,117,493,350,419.681,2.17650,False
0,17194,116,495,350,409.383,2.22135,False
0,6192,59,503,278,1461.975,0.47238,False
0,20273,127,490,335,473.428,1.48232,False
0,13618,100,487,331,390.798,1.86126,False
0,25395,143,499,319,514.617,1.30396,False
0,13621,102,481,328,384.016,1.90167,False
0,8246,72,489,288,1258.790,0.58996,False
0,23862,138,499,317,870.253,0.56052,False
0,24380,141,495,316,742.164,0.72477,False
0,2621,27,574,269,268.736,1.94668,False
0,14910,106,500,338,394.816,2.10338,False
0,5183,53,512,264,1328.361,0.49434,False
0,19520,126,496,346,352.622,2.46483,False
0,19265,124,484,350,411.392,2.31412,False
0,7234,65,489,280,1367.290,0.53621,False
0,8515,73,492,293,1377.336,0.56833,False
0,23107,135,495,317,818.766,0.70081,False
0,3142,35,551,264,304.400,1.99896,False
0,5451,55,509,265,1329.616,0.50952,False
0,12876,96,447,286,372.463,1.96772,False
0,19020,123,477,355,402.100,2.37179,False
0,3406,39,568,254,1182.690,0.46621,False
0,1617,19,560,272,269.741,2.02129,False
0,850,9,545,268,242.114,1.65752,False
0,8018,71,492,286,1338.909,0.56425,False
0,11347,89,454,310,327.758,1.92323,False
0,21333,130,491,325,1020.193,0.48825,False
0,21593,133,499,323,930.530,0.57505,False
0,4442,45,541,246,1204.541,0.49084,False
0,12123,92,446,288,358.901,1.89360,False
0,20575,129,486,321,911.694,0.60766,False
0,16225,112,497,348,400.342,2.31430,False
0,2403,31,562,278,310.679,2.06241,False
0,7530,67,492,286,1391.400,0.53700,False
0,22891,137,497,315,896.122,0.59094,False
0,1644,22,569,268,281.796,1.88918,False
0,1647,20,562,272,284.308,1.91705,False
0,10607,86,469,295,573.639,1.67443,False
0,15475,108,505,341,456.852,1.99868,False
0,12148,93,444,288,362.919,1.92422,False
0,21620,132,496,322,918.977,0.53137,False
0,15221,109,504,347,570.625,1.70049,False
0,12153,94,446,308,361.413,1.84944,False
0,11643,90,441,308,347.348,1.85754,False
0,24187,140,496,319,755.726,0.73751,False
0,13696,101,493,341,378.742,2.03686,False
0,6275,57,506,272,1442.887,0.46157,False
0,9091,77,487,294,1251.507,0.67140,False
0,10371,84,467,287,785.112,1.19913,False
0,16772,114,499,349,428.471,2.20381,False
0,7045,64,493,279,1497.388,0.48280,False
0,10635,87,463,307,345.087,1.72395,False
0,17294,118,492,348,403.607,2.25817,False
0,18320,121,492,356,409.634,2.23785,False
0,5525,56,507,267,1431.083,0.46299,False
0,10904,88,461,320,319.721,2.08997,False
0,4762,47,534,247,1294.203,0.47282,False
0,5018,50,525,256,1346.946,0.46005,False
0,5787,52,516,260,1384.870,0.47589,False
0,7323,66,490,282,1382.861,0.54304,False
0,3234,37,574,251,1207.806,0.45605,False
0,18851,122,484,356,398.081,2.30234,False
0,164,2,521,272,411.644,1.79029,False
0,19364,125,490,350,388.537,2.34649,False
0,10150,82,468,289,911.694,0.98450,False
0,4522,46,539,247,1295.961,0.46509,False
0,6058,58,504,276,1410.488,0.48408,False
0,173,1,525,279,396.825,1.84693,False
0,3502,38,573,255,1238.196,0.45017,False
0,9390,78,483,296,1183.193,0.73658,False
0,12207,95,449,288,369.952,1.96342,False
0,13232,99,471,329,388.286,1.76991,False
0,8882,75,491,294,1336.649,0.61570,False
0,180,8,542,291,236.588,1.65162,False
0,6326,61,499,282,1520.243,0.46153,False
0,7606,68,493,287,1450.422,0.51995,False
0,16054,111,497,348,413.904,2.17832,False
0,6840,63,495,281,1570.223,0.46040,False
0,20408,128,490,329,792.395,0.79052,False
0,10425,85,466,282,891.601,1.04413,False
0,18105,119,490,355,385.021,2.36771,False
0,8890,76,488,294,1302.492,0.63336,False
0,2748,29,572,277,277.527,2.06363,False
0,3772,40,565,255,1204.792,0.46430,False
0,191,5,547,285,250.653,1.53962,False
0,5058,51,522,259,1357.746,0.47274,False
0,2756,25,562,268,271.499,2.01692,False
0,965,11,545,254,237.844,1.74759,False
0,8645,74,492,297,1291.190,0.62245,False
0,201,6,559,283,254.671,1.49948,False
0,6346,60,503,279,1518.485,0.46308,False
0,9419,79,483,292,1108.097,0.77149,False
0,9679,80,476,293,1091.270,0.80957,False
0,11728,91,444,300,354.380,1.86675,False
0,978,14,546,255,243.370,1.93529,False
0,4054,41,561,253,1190.225,0.47035,False
0,1751,23,565,265,287.322,1.83984,False
0,14552,105,494,334,396.072,2.07296,False
0,17368,115,494,354,393.309,2.28374,False
0,14297,103,485,327,421.690,1.81487,False
0,22746,136,497,315,912.950,0.60568,False
0,1757,21,565,270,274.764,1.97313,False
0,993,10,545,260,228.300,1.71243,False
0,5350,49,530,250,1405.967,0.44939,False
0,25830,145,497,316,461.875,1.75753,False
0,752,13,545,256,244.625,1.89484,False
0,4848,48,532,248,1276.623,0.48380,False
0,9968,81,472,290,1002.612,0.89178,False
0,15088,107,504,346,441.280,2.03686,False
0,10481,83,467,288,899.136,1.00360,False
0,6643,62,500,278,1493.872,0.48871,False
0,244,4,528,278,408.881,1.81593,False
0,16372,113,497,348,420.183,2.22590,False
0,24312,142,497,316,732.369,0.79858,False
0,761,15,544,254,256.681,1.91143,False
0,23804,139,497,317,797.418,0.71051,False
0,4093,44,541,247,1206.299,0.47482,False
0,4095,43,548,249,1251.758,0.45726,False
0,7935,70,492,290,1373.568,0.55592,False
0,21247,131,492,324,969.208,0.50715,False
1,2562,27,835,169,1040.285,0.55063,False
1,10244,83,856,161,1038.778,0.51201,False
1,2309,30,833,166,1123.920,0.52518,False
1,10761,88,857,162,1098.302,0.53398,False
1,2570,29,836,168,1002.863,0.55801,False
