track_id,spot_id,mask_id,fr,X,Y,area,mean,edge,p_interphase,p_mitosis,p_death,cell_class
1,23576,8,8,875,168,1224.131,0.54363,False,0.85427,0.02813,0.02433,interphase
1,25114,12,33,879,173,1188.969,0.70141,False,0.76042,0.03036,0.02596,interphase
1,24737,13,30,878,173,1161.845,0.70764,False,0.77995,0.03098,0.02640,interphase
1,23588,10,1,875,171,1163.351,0.52102,False,0.88725,0.02918,0.02512,interphase
1,24996,13,31,879,173,1169.379,0.70340,False,0.78254,0.03094,0.02625,interphase
1,23976,9,10,876,165,1252.763,0.55049,False,0.81700,0.02643,0.02270,interphase
1,23977,10,9,877,165,1295.459,0.52271,False,0.80999,0.02604,0.02228,interphase
1,25385,12,42,855,169,458.358,2.05592,False,0.97133,0.01191,0.00844,interphase
1,23724,10,2,880,173,1132.459,0.53626,False,0.86849,0.03099,0.02700,interphase
1,23599,12,6,879,173,1158.580,0.55608,False,0.86770,0.03082,0.02667,interphase
1,24369,10,22,872,166,1093.530,0.63750,False,0.88385,0.02947,0.02560,interphase
1,24885,12,32,882,173,1178.170,0.70382,False,0.74579,0.02981,0.02539,interphase
1,25143,14,36,880,176,1198.764,0.72806,False,0.72393,0.03021,0.02583,interphase
1,25401,13,40,864,177,478.702,1.88657,False,0.89352,0.02353,0.01712,interphase
1,25660,14,47,856,136,311.684,1.52841,False,0.57350,0.00203,0.00147,interphase
1,25535,14,46,862,145,273.257,1.71851,False,0.78382,0.00407,0.00334,interphase
1,23618,11,3,880,172,1194.244,0.52213,False,0.85819,0.02931,0.02526,interphase
1,25282,12,37,877,176,1149.789,0.76565,False,0.76122,0.03076,0.02652,interphase
1,26053,7,51,868,107,717.048,0.65944,False,0.18899,0.00093,0.00074,interphase
1,25799,13,48,860,115,499.799,0.94872,False,0.23767,0.00103,0.00063,interphase
1,24392,8,19,866,162,1208.057,0.59686,False,0.89249,0.02456,0.02174,interphase
1,25931,10,54,874,101,836.347,0.57153,False,0.11452,0.00050,0.00038,interphase
1,24140,7,15,868,161,1342.676,0.53545,False,0.84783,0.02329,0.02029,interphase
1,25294,13,38,880,174,1155.314,0.78376,False,0.76730,0.03069,0.02594,interphase
1,23632,12,7,881,170,1201.778,0.54507,False,0.84043,0.02925,0.02535,interphase
1,24529,10,23,873,165,1042.797,0.67030,False,0.86462,0.03048,0.02643,interphase
1,24402,10,24,877,166,972.976,0.69797,False,0.84082,0.03389,0.02943,interphase
1,26068,9,52,869,108,757.987,0.62841,False,0.21194,0.00102,0.00071,interphase
1,25686,15,45,862,151,270.494,1.71180,False,0.90927,0.00490,0.00387,interphase
1,25048,11,35,879,176,1214.336,0.71636,False,0.74672,0.03028,0.02573,interphase
1,24666,8,25,875,165,1102.321,0.78590,False,0.82418,0.02983,0.02596,interphase
1,24669,13,28,880,173,1127.687,0.70376,False,0.80303,0.03168,0.02700,interphase
1,25053,11,34,880,176,1219.610,0.69370,False,0.74554,0.03022,0.02562,interphase
1,24799,13,29,881,173,1160.589,0.69202,False,0.77158,0.03113,0.02631,interphase
1,24419,8,17,867,160,1256.530,0.57059,False,0.86215,0.02398,0.02105,interphase
1,25191,15,39,873,180,591.220,1.49763,False,0.80829,0.02889,0.02285,interphase
1,24298,11,21,869,163,1117.892,0.62917,False,0.89268,0.02674,0.02355,interphase
1,23917,10,16,869,161,1283.906,0.56093,False,0.85497,0.02419,0.02102,interphase
1,25582,14,43,862,155,260.197,1.74487,False,0.96438,0.00605,0.00501,interphase
1,25838,9,50,865,110,699.468,0.70292,False,0.22755,0.00109,0.00072,interphase
1,25969,10,49,861,111,606.038,0.77989,False,0.21402,0.00101,0.00063,interphase
1,25588,15,44,864,149,266.978,1.74748,False,0.89393,0.00504,0.00420,interphase
1,24185,10,14,869,161,1322.835,0.53954,False,0.84917,0.02352,0.02060,interphase
1,24697,15,27,876,171,1033.253,0.76447,False,0.84088,0.03260,0.02830,interphase
1,25850,7,53,872,106,792.144,0.60620,False,0.18684,0.00095,0.00069,interphase
2,24001,28,16,136,647,1829.918,0.73990,False,0.86803,0.03265,0.04804,interphase
2,25345,30,37,77,617,582.178,1.26860,False,0.89084,0.01291,0.01117,interphase
2,23682,28,6,137,653,2086.598,0.56819,False,0.86060,0.03286,0.04658,interphase
2,23747,27,3,140,656,2079.817,0.55567,False,0.87515,0.02763,0.03833,interphase
2,24390,25,18,129,643,1799.779,0.75972,False,0.86490,0.03330,0.04843,interphase
2,25094,29,34,93,645,447.308,1.46937,False,0.81722,0.02381,0.02063,interphase
2,23879,26,5,138,653,2195.098,0.54001,False,0.86132,0.03142,0.04367,interphase
2,23623,23,8,134,649,2063.743,0.58976,False,0.86820,0.03263,0.04467,interphase
2,25095,31,35,85,641,530.691,1.37643,False,0.84697,0.01741,0.01279,interphase
2,24584,29,23,138,647,1549.126,0.93366,False,0.89207,0.02595,0.03634,interphase
2,25224,37,36,86,633,545.509,1.37282,False,0.84426,0.01832,0.01538,interphase
2,23689,26,1,139,659,2016.526,0.54907,False,0.88813,0.02564,0.03123,interphase
2,24527,27,20,132,644,1661.895,0.84408,False,0.87144,0.03043,0.04579,interphase
2,25426,30,40,68,599,745.178,1.00724,False,0.82160,0.00802,0.00524,interphase
